[Information]
CL5
V4.1
[DCAName]
DCA,NAME,COLOR,ICON,
_01,DCA 1,Yellow,Blank,
_02,DCA 2,Yellow,Blank,
_03,DCA 3,Yellow,Blank,
_04,DCA 4,Yellow,Blank,
_05,DCA 5,Yellow,Blank,
_06,DCA 6,Yellow,Blank,
_07,DCA 7,Yellow,Blank,
_08,DCA 8,Yellow,Blank,
_09,DCA 9,Yellow,Blank,
_10,DCA10,Yellow,Blank,
_11,DCA11,Yellow,Blank,
_12,DCA12,Yellow,Blank,
_13,DCA13,Yellow,Blank,
_14,DCA14,Yellow,Blank,
_15,DCA15,Yellow,Blank,
_16,DCA16,Yellow,Blank,
